  Table : gident_346.tfits 
 Sequence  CENTER       INT        FWHM       FLUX      
      131  3379.753662    9.10822    0.07867    0.46581
      132  3380.752441    9.83443    0.03023    0.45585
      133  3380.856445    9.24298    0.09030    0.45054
      134  3380.991943    7.82248    0.07407    0.36986
      135  3381.263184   13.89350    0.10927    0.69999
      136  3381.702148    9.96648    0.08038    0.50358
      137  3381.850830    7.75383    0.06249    0.39321
      138  3383.766602    8.24238    0.07537    0.38128
      139  3384.594971    8.90621    0.09111    0.38513
      140  3384.741699    9.23281    0.00503    0.46909
      141  3385.121094   11.68480    0.09317    0.58239
      142  3385.463867    7.74288    0.11896    0.37598
      143  3420.329834    9.82704    0.09246    0.49784
      144  3420.805176   10.34659    0.07637    0.61522
      145  3423.204590   10.25292    0.06924    0.55484
      146  3423.692139    9.60734    0.07197    0.57168
      147  3430.617188    7.73484    0.09545    0.42068
      148  3431.105957    7.60750    0.08107    0.43755
      149  3434.593506    6.44015    0.08027    0.36293
      150  3435.323486    7.40329    0.08412    0.45486
      151  3435.661621    8.35439    0.32308    0.43373
      152  3449.851318    8.34926    0.07781    0.48312
      153  3450.666992    6.90153    0.05484    0.42898
      154  3451.287109    9.72894    0.07298    0.61172
      155  3451.521729    7.52978    0.08469    0.41237
      156  3451.713867    9.43317    0.09363    0.58230
      157  3452.739746    9.45629    0.12811    0.58314
      158  3453.003662    6.54442    0.06645    0.38454
      159  3453.239502    9.42746    0.08590    0.58818
      160  3454.465332    6.93544    0.15755    0.38944
      161  3454.727539   10.51009    0.07025    0.62390
      162  3454.960938    6.66976    0.08819    0.41373
      163  3455.222656    8.73668    0.09610    0.49002
      164  3456.088623    7.10640    0.04236    0.42434
      165  3456.967529    5.70116    0.08524    0.32182
      166  3457.173828    9.05668    0.13853    0.55415
      167  3457.407959    7.26119    0.08919    0.44568
      168  3457.681152   10.43698    0.08040    0.62447
      169  3460.102783    7.25997    0.21758    0.43689
      170  3460.338135    5.17320    0.11770    0.33556
      171  3460.612549    9.03991    0.08721    0.52172
      172  3464.042236    6.86822    0.09625    0.45539
      173  3477.959717    6.68465    0.06960    0.42508
      174  3478.267090    6.52398    0.11125    0.40927
      175  3478.738281    7.86730    0.09019    0.52147
      176  3479.029297    5.89446    0.14327    0.35631
      177  3479.356934    7.54276    0.11089    0.46581
      178  3479.606689    8.61013    0.09977    0.54290
      179  3479.959717    8.30143    0.04374    0.53437
      180  3480.156982    7.53397    0.10278    0.48477
      181  3480.402344    6.48663    0.07579    0.41826
      182  3480.583008    5.41306    0.07958    0.36541
      183  3480.752197    6.87385    0.08937    0.46293
      184  3481.010010    7.46434    0.11028    0.50993
      185  3481.140137   10.09532    0.12306    0.65595
      186  3481.373779    6.87734    0.10549    0.39222
      187  3482.214600    8.07269    0.10337    0.50501
      188  3482.462891   11.10032    0.14851    0.74248
      189  3482.709961    6.68517    0.13533    0.45183
      190  3482.910400   10.59521    0.08643    0.70003
      191  3483.487549    7.69547    0.08980    0.49555
      192  3483.780273    7.26842    0.10440    0.50447
      193  3484.700195   11.66867    0.07960    0.77430
      194  3484.941895   11.38851    0.09463    0.73036
      195  3485.199463   15.83378    0.10277    1.08311
      196  3486.540283    7.58316    0.05961    0.51245
      197  3486.847656    8.60718    0.09676    0.54623
      198  3487.516113    9.86496    0.10698    0.60440
      199  3487.750488    8.09959    0.08084    0.52563
      200  3488.015137   11.26484    0.09868    0.79721
      201  3488.293213    6.52132    0.12688    0.42686
      202  3488.616211    8.75180    0.08566    0.54902
      203  3490.579590    9.95508    0.07487    0.64544
      204  3491.382568    9.88028    0.11510    0.63028
      205  3492.676025    8.20654    0.07146    0.54946
      206  3494.949951    9.05247    0.18923    0.64294
      207  3497.387451    7.02577    0.10690    0.44557
      208  3499.774170    8.16864    0.06639    0.53124
      209  3502.357422    5.69919    0.06714    0.43279
      210  3502.761963    6.84173    0.08024    0.46123
      211  3504.805908    5.46396    0.07402    0.36609
      212  3505.317627    4.30384    0.09890    0.28015
      213  3505.722168    6.57776    0.09238    0.41212
      214  3508.916748    6.26079    0.06056    0.45947
      215  3509.850586    5.76361    0.07852    0.41529
      216  3512.122314    5.80011    0.09969    0.41257
      217  3512.964600    4.69787    0.04689    0.31705
      218  3517.211670    9.56319    0.05747    0.64369
      219  3520.845947    7.88553    0.04277    0.44692
      220  3540.897461    6.56050    0.07431    0.44698
      221  3542.422607    9.12108    0.07817    0.68723
      222  3542.861328    7.59810    0.08580    0.56291
      223  3544.206299    8.97550    0.08763    0.72790
      224  3544.609863    8.53888    0.09634    0.61763
      225  3545.145020    8.61091    0.05768    0.61849
      226  3545.545898    6.45104    0.04791    0.43818
      227  3546.212158    8.83717    0.09041    0.66721
      228  3546.674072   10.07170    0.08760    0.77962
      229  3547.213135    6.50917    0.07561    0.40085
      230  3547.943848    8.47410    0.10991    0.62616
      231  3548.841064    5.83944    0.05695    0.42299
      232  3549.362549    6.52293    0.11797    0.49120
