  Table : fluxint_860U.tbl 
 Sequence    CENTER        INT        FWHM       FLUX      
 -------- ------------ ---------- ---------- ----------
        1  8614.556641   25.39186    0.18422    0.09444
        2  8615.560547   53.59265    0.17845    0.20233
        3  8617.136719   41.01955    0.19028    0.18733
        4  8618.365234   70.27650    0.20102    0.35524
        5  8619.919922   71.32521    0.19362    0.40076
        6  8621.357422   97.69200    0.20348    0.59677
        7  8622.895508   87.01190    0.20206    0.58405
        8  8624.543945  135.22533    0.19977    0.99166
        9  8626.069336  118.81463    0.19945    0.89342
       10  8627.922852  161.69897    0.19760    1.38974
       11  8629.430664  137.27206    0.19733    1.25625
       12  8631.496094  164.31474    0.20006    1.62802
       13  8632.987305  129.89616    0.21066    1.35666
       14  8635.266602  145.73325    0.20258    1.63693
       15  8636.725586  100.58696    0.20341    1.17836
       16  8639.250000   88.41968    0.20678    1.10663
       17  8640.659180   42.34789    0.19924    0.54754
       18  8641.854492   24.57032    0.21414    0.32592
       19  8642.280273   17.15123    0.23308    0.22969
       20  8643.879883    4.18997    0.20574    0.05594
       21  8646.899414   86.37358    0.20651    1.25145
       22  8649.715820  108.36668    0.23682    1.62512
       23  8650.381836   49.69778    0.16849    0.82685
       24  8651.293945  282.11206    0.20500    4.69536
       25  8652.257812   11.97811    0.22999    0.19429
       26  8653.768555   15.65568    0.17148    0.26281
       27  8654.359375  290.13373    0.21153    4.97728
       28  8655.862305  364.35663    0.21229    6.30095
       29  8657.731445   15.03839    0.19905    0.26622
       30  8659.140625  323.67868    0.19477    5.68473
       31  8660.643555  381.25870    0.19886    6.57280
       32  8664.129883  302.54745    0.21289    5.09794
       33  8665.590820  339.92908    0.21634    6.04342
       34  8667.957031   12.46521    0.18373    0.21702
       35  8669.281250  267.43140    0.21470    4.76346
       36  8670.730469  296.91086    0.21838    5.27202
       37  8674.631836  197.96785    0.21803    3.50001
       38  8676.066406  212.39612    0.20814    3.74197
       39  8680.171875  142.64996    0.21408    2.48988
       40  8681.588867  144.43594    0.21385    2.50334
       41  8683.402344    6.14219    0.28035    0.10547
       42  8685.892578   88.21707    0.20988    1.51316
       43  8687.302734   99.04828    0.21206    1.69042
       44  8691.811523   49.02910    0.20368    0.83019
       45  8693.211914   56.89656    0.21351    0.94267
       46  8697.919922   27.06952    0.20884    0.44664
       47  8699.305664   31.47038    0.20706    0.52482
       48  8700.122070   31.42554    0.21738    0.51343
       49  8700.693359   27.06182    0.21013    0.45675
       50  8701.635742    6.50165    0.23434    0.10921
       51  8702.135742    6.61895    0.16111    0.11038
       52  8704.211914   15.74386    0.22083    0.26436
       53  8705.608398   15.59428    0.22615    0.26204
       54  8706.955078   42.30745    0.22000    0.71199
       55  8707.991211   35.19935    0.21881    0.59337
       56  8710.717773    9.17209    0.21045    0.15572
       57  8711.594727    5.93162    0.12772    0.09566
       58  8712.081055    9.26206    0.20089    0.15642
       59  8716.630859    6.21297    0.17054    0.10555
       60  8717.407227    6.47868    0.29934    0.11016
       61  8718.753906    6.73401    0.19978    0.11540
       62  8726.753906   22.16330    0.21710    0.37805
       63  8737.480469   15.65859    0.21007    0.26764
       64  8739.164062   12.10740    0.21462    0.20645
       65  8740.603516   19.16948    0.21345    0.32602
       66  8742.973633   13.36765    0.22133    0.21937
       67  8746.982422    7.93248    0.24513    0.12802
       68  8750.248047   21.26693    0.21416    0.36393
       69  8758.729492  386.50220    0.21293    6.57728
       70  8760.278320  182.89944    0.20835    3.10608
       71  8761.336914  800.54205    0.23004   13.58955
       72  8761.617188  282.15411    0.26798    4.78766
       73  8763.016602   30.64637    0.22136    0.52186
       74  8763.723633   25.20569    0.21086    0.42975
       75  8766.418945  423.90552    0.23245    7.16271
       76  8767.924805 1348.02563    0.21835   22.79401
       77  8769.159180   42.89691    0.20146    0.72482
       78  8770.375977   35.25358    0.20857    0.59473
       79  8775.035156   13.53588    0.25734    0.22756
       80  8776.221680  614.70490    0.22797   10.28297
       81  8778.343750 1550.41980    0.21167   25.00329
       82  8790.240234   47.52069    0.22474    0.78362
       83  8791.189453  571.35803    0.23332    9.43464
       84  8801.595703    8.24243    0.12558    0.13557
       85  8801.957031    8.12440    0.20743    0.13473
       86  8809.218750   43.63118    0.22332    0.72064
       87  8810.182617   31.68720    0.25771    0.48839
       88  8810.442383   29.24340    0.24776    0.48349
       89  8825.464844  277.99725    0.34328    4.50451
       90  8827.112305 3574.88428    0.22100   59.42999
       91  8828.009766   18.02987    0.23668    0.30216
       92  8829.888672   12.56979    0.21302    0.21207
       93  8830.768555   35.24142    0.35840    0.58696
       94  8831.559570   26.86209    0.20970    0.43350
       95  8832.920898   81.26482    0.32075    1.36866
       96  8833.122070   74.35199    0.31174    1.24143
       97  8833.546875   13.61117    0.23209    0.23112
       98  8834.116211   30.29534    0.22104    0.51054
       99  8834.526367   26.85788    0.21250    0.43001
      100  8836.449219  819.04437    0.37986   13.89853
      101  8837.683594   34.53767    0.21523    0.58593
      102  8845.278320   25.71260    0.23280    0.43878
      103  8845.615234   26.11410    0.22682    0.44619
      104  8847.005859   12.93979    0.23024    0.20993
      105  8849.604492  233.00772    0.21631    3.97968
      106  8850.074219  233.58057    0.21152    3.93054
      107  8854.173828    8.51445    0.18498    0.14563
      108  8859.200195    5.93850    0.16257    0.09348
      109  8859.809570    5.97269    0.09150    0.10207
      110  8860.767578    6.71550    0.13231    0.11449
      111  8861.666992   25.14719    0.33082    0.42774
      112  8862.499023   10.42785    0.23814    0.17800
      113  8862.847656   32.46289    0.22790    0.51524
      114  8863.406250   21.58659    0.20561    0.36544
      115  8864.380859    6.32813    0.26430    0.09323
      116  8867.003906   74.48365    0.21664    1.22925
      117  8867.605469  832.33350    0.25223   14.14305
      118  8871.343750    6.18549    0.20608    0.09977
      119  8884.491211    9.16833    0.26192    0.15428
      120  8885.856445 2588.75562    0.24431   43.26933
      121  8888.699219   23.75405    0.20851    0.39615
