  Table : gident_580L.tbl 
 Sequence CENTER           INT        FWHM       FLUX      
 -------- ------------ ---------- ---------- ----------
        1  4861.320312   18.32259    0.14481    0.31178
        2  4882.649902    9.06298    0.27405    0.14716
        3  4883.073730   10.69520    0.12213    0.18434
        4  4905.089355   14.98759    0.11354    0.26081
        5  4910.154297    8.21633    0.13597    0.14345
        6  4918.405762   10.13275    0.11606    0.17800
        7  4931.414551    8.97623    0.08334    0.13794
        8  4931.870605   12.29659    0.09481    0.21832
        9  4936.413574    8.77842    0.11065    0.14925
       10  4937.806152   15.95825    0.15714    0.27828
       11  4947.905273    9.80531    0.11650    0.16014
       12  4953.348145    9.53119    0.16667    0.17172
       13  4953.484863   11.68958    0.11213    0.21063
       14  4963.242676    8.56927    0.12236    0.15441
       15  4966.492676   11.17038    0.12694    0.20267
       16  4975.405273    9.54977    0.09748    0.17351
       17  4977.544922   10.03901    0.10902    0.17362
       18  4992.328125    9.64048    0.08847    0.17609
       19  4995.575195    8.59802    0.09809    0.14812
       20  4995.954102    8.46224    0.15490    0.13651
       21  5004.435059    8.98283    0.12239    0.15553
       22  5078.846191    7.59223    0.11002    0.14116
       23  5091.015625    7.90803    0.10095    0.14714
       24  5187.403320   14.39884    0.11098    0.27083
       25  5187.756348   14.39310    0.12089    0.27072
       26  5189.260254    8.50065    0.18323    0.15863
       27  5189.497559    9.61720    0.11650    0.18087
       28  5197.928223  252.81952    0.12188    4.75124
       29  5200.285645  146.71915    0.12109    2.75663
       30  5202.979004   28.07875    0.12004    0.52740
       31  5208.793457   12.31313    0.13726    0.23111
       32  5217.390625   11.42965    0.15009    0.19754
       33  5224.145020   26.42826    0.12905    0.49480
       34  5232.152832   14.15284    0.12994    0.26455
       35  5238.751953   29.51321    0.16292    0.55085
       36  5249.880371   13.05625    0.14466    0.24301
       37  5254.274902    7.87889    0.10155    0.14177
       38  5256.045410   18.87354    0.17498    0.33407
       39  5256.132812   18.65639    0.19905    0.34662
       40  5256.776855    9.16417    0.13048    0.15079
       41  5261.204590    7.61646    0.26071    0.14127
       42  5275.073242   13.06007    0.13161    0.23592
       43  5276.143066   12.96304    0.11252    0.23914
       44  5276.354980   11.73061    0.12556    0.21639
       45  5294.045410    9.12205    0.13484    0.16672
       46  5298.500977   12.12810    0.13959    0.22196
       47  5299.159668   10.20207    0.12455    0.18119
       48  5299.457520   10.49098    0.11044    0.19194
       49  5306.588379    9.15671    0.16686    0.16718
       50  5311.780273    8.06476    0.19448    0.14702
       51  5313.241699   14.53377    0.18451    0.26483
       52  5320.495117    8.72642    0.17666    0.14763
       53  5324.442871    7.89299    0.15360    0.14337
       54  5325.169434    8.42446    0.08139    0.15152
       55  5325.509277    7.69770    0.12836    0.13979
       56  5329.681152    8.96534    0.11188    0.16085
       57  5330.422363    9.97828    0.66442    0.17343
       58  5330.729004   11.28694    0.16931    0.19419
       59  5344.772461    7.71034    0.15137    0.12845
       60  5349.925293    8.44408    0.12684    0.15252
       61  5350.148438    8.35765    0.10150    0.14403
       62  5354.181152    7.83102    0.11900    0.14134
       63  5354.644043    8.46800    0.11891    0.14144
       64  5502.400391    7.99566    0.11256    0.15035
       65  5542.235840   23.26380    0.13318    0.45098
       66  5543.445801    7.78565    0.13495    0.15106
       67  5544.592285   22.81673    0.13032    0.44307
       68  5544.894531   12.17745    0.13868    0.21676
       69  5549.343262   10.82635    0.13380    0.21093
       70  5562.966309    8.27372    0.17894    0.14805
       71  5564.000977   44.01104    0.12482    0.86581
       72  5569.531250   14.74534    0.16334    0.29111
       73  5577.346680 7787.20312    0.12675  154.48093
       74  5581.218750   14.62307    0.14389    0.29075
       75  5589.136230   39.42376    0.14000    0.71995
       76  5597.793945   18.60516    0.13604    0.37323
       77  5605.147461   36.13300    0.18758    0.72732
       78  5617.170898   16.27468    0.12908    0.32923
       79  5623.783203   20.97368    0.19080    0.42533
       80  5623.899414   21.17428    0.15797    0.41224
       81  5639.303711   12.43624    0.16374    0.24496
       82  5645.167969   15.04925    0.12962    0.29416
       83  5645.399902   13.51123    0.16420    0.27581
       84  5664.195801    8.60962    0.43137    0.17217
       85  5669.388184    9.84019    0.15908    0.20175
       86  5669.686035    9.62547    0.11386    0.17852
       87  5696.494629    8.01154    0.17729    0.15647
       88  5696.851562    7.75237    0.14096    0.15904
 -------- ------------ ---------- ---------- ----------
