  Table : gident_860L.tbl 
 Sequence    CENTER        INT        FWHM       FLUX      
 -------- ------------ ---------- ---------- ----------
        1  6704.104492   38.50083    0.16193    0.17288
        2  6704.700195   33.24126    0.16370    0.14886
        3  6707.901855   22.21416    0.11488    0.10309
        4  6710.174805   22.48973    0.16727    0.10364
        5  6711.140137   23.19577    0.06059    0.10831
        6  6713.873535   23.12665    0.19693    0.10845
        7  6714.799316   24.39405    0.22162    0.11432
        8  6715.808105   24.42829    0.07220    0.11394
        9  6716.975098   24.93485    0.05583    0.11675
       10  6718.970703   22.03878    0.28271    0.10041
       11  6720.853027   22.76502    0.39197    0.09793
       12  6722.797363   22.61142    0.10402    0.10576
       13  6723.665039   22.26623    0.29853    0.09780
       14  6728.891602   21.41422    0.18839    0.09602
       15  6730.126953   22.25627    0.22673    0.09999
       16  6739.698730   28.38144    0.37081    0.12794
       17  6740.083008   27.46542    0.16078    0.12256
       18  6741.859375   22.20720    0.20482    0.09940
       19  6742.913086   21.87961    0.20239    0.09774
       20  6744.229492   29.72116    0.18681    0.13299
       21  6744.936035   31.01114    0.17007    0.12794
       22  6746.926758   23.02396    0.16381    0.10299
       23  6769.048828   20.93206    0.09798    0.09391
       24  6783.771973   29.00967    0.14399    0.12851
       25  6784.256836   24.01804    0.17464    0.11019
       26  6787.869629   32.21021    0.15650    0.14800
       27  6788.712891   28.55692    0.16987    0.13017
       28  6803.143555   25.58046    0.11856    0.11922
       29  6818.760742   22.73209    0.21387    0.10871
       30  6827.468750  370.05618    0.15954    1.76797
       31  6828.482422  172.23584    0.15616    0.82567
       32  6829.508301  659.87183    0.17004    3.16190
       33  6829.930664  168.32062    0.17148    0.80723
       34  6831.355957   28.53438    0.15586    0.13181
       35  6831.955078   23.29947    0.20906    0.11295
       36  6832.666992   84.88225    0.19535    0.40842
       37  6834.021484  271.41238    0.16656    1.30863
       38  6834.445801  715.24194    0.16532    3.26041
       39  6835.100586   29.05596    0.20240    0.13269
       40  6835.771973   21.59637    0.18871    0.10413
       41  6836.079590   27.71593    0.15229    0.13480
       42  6839.666504   39.66902    0.17617    0.19106
       43  6840.064941   52.11594    0.19201    0.25230
       44  6841.963379  271.37231    0.15375    1.31519
       45  6850.035156   33.34295    0.15944    0.16156
       46  6850.807129   37.03522    0.22439    0.18059
       47  6862.696289  175.21085    0.21813    0.86048
       48  6863.970703 1801.09155    0.16139    8.86070
       49  6864.878906   27.95324    0.25518    0.13404
       50  6865.046387   27.74779    0.17344    0.13537
       51  6868.350098   26.99889    0.27530    0.11933
       52  6868.489746   28.41004    0.17282    0.13978
       53  6871.073242  233.11084    0.15818    1.14407
       54  6877.917480   23.11815    0.15439    0.11232
       55  6878.277832   19.55643    0.14619    0.09565
       56  6880.235840   21.11416    0.26791    0.10350
       57  6880.949219  119.98672    0.16188    0.56611
       58  6881.254883  111.74641    0.16291    0.55162
       59  6882.105469   19.64864    0.20514    0.09573
       60  6882.444336   25.66627    0.24112    0.12589
       61  6882.652344   33.12035    0.13506    0.16222
       62  6883.343262   22.79338    0.14684    0.11158
       63  6886.040527   29.80383    0.15449    0.14630
       64  6887.166504   25.17952    0.16679    0.12257
       65  6889.302246  386.06317    0.17273    1.90324
       66  6894.098145   43.43662    0.16060    0.21486
       67  6894.638184   41.27976    0.15513    0.19795
       68  6900.807617  440.53845    0.15743    2.17680
       69  6902.435547   23.55941    0.22413    0.11600
       70  6903.565918   22.98739    0.17639    0.11381
       71  6903.894531   21.46984    0.28824    0.10513
       72  6910.503418   20.54023    0.16922    0.10183
       73  6911.359863   20.31598    0.11978    0.10154
       74  6912.638184  554.53674    0.16235    2.68067
       75  6921.413574   24.90175    0.19793    0.12447
       76  6923.192383  888.77643    0.18926    4.43816
       77  6924.604004   38.09385    0.16974    0.18939
       78  6927.124512   20.71557    0.12134    0.10142
       79  6927.321777   21.23833    0.18081    0.10605
       80  6928.344238   22.66274    0.16077    0.11322
       81  6928.847656   21.33586    0.13970    0.10607
       82  6929.425293   17.18398    0.19921    0.08516
       83  6937.649902   26.50182    0.16253    0.13253
       84  6938.487305   22.35232    0.16670    0.11062
       85  6939.541992  508.59033    0.15015    2.56031
       86  6940.782227   31.12830    0.17190    0.15635
       87  6942.078125   25.90018    0.17053    0.13117
       88  6948.963379  638.99097    0.16976    3.23888
       89  6949.167969  607.09387    0.16772    3.07866
       90  6951.701660   39.54053    0.24255    0.20027
       91  6952.855469   18.97546    0.30792    0.09598
       92  6954.562988   18.97475    0.06601    0.09625
       93  6955.189941   22.66541    0.24089    0.11000
       94  6955.603516   20.81092    0.20696    0.10304
       95  6955.893066   19.54669    0.11256    0.09914
       96  6956.232422   24.66744    0.20163    0.12212
       97  6956.895020   20.41268    0.21685    0.10239
       98  6957.461914   26.16908    0.16849    0.13250
       99  6958.482910   21.85814    0.13689    0.11124
      100  6959.003906   24.33371    0.14990    0.12398
      101  6959.940430   21.89684    0.09254    0.11123
      102  6960.768066   24.58212    0.18816    0.12411
      103  6961.765137   22.17447    0.16007    0.11238
      104  6962.838867   22.76436    0.16949    0.11410
      105  6963.796875   21.63272    0.15136    0.10448
      106  6965.187988   21.69213    0.26959    0.11070
      107  6966.337891   32.79664    0.30835    0.15943
      108  6969.940430  313.10687    0.17608    1.60795
      109  6971.962891   20.79048    0.12863    0.10654
      110  6973.000488   21.79942    0.15336    0.11276
      111  6975.229492   23.27474    0.18702    0.11207
      112  6976.220703   24.00910    0.17766    0.12261
      113  6978.267578  355.93060    0.16256    1.83935
      114  6978.581055  345.67819    0.15839    1.78673
      115  6979.710938   24.73820    0.14162    0.12797
      116  6982.519043   24.47091    0.16306    0.12599
      117  6983.436523   25.10032    0.22017    0.13017
      118  6986.122559   22.41661    0.18913    0.11676
      119  6986.329102   25.19587    0.10498    0.12738
      120  6987.492188   23.50985    0.14635    0.12244
      121  6987.923828   19.74805    0.19267    0.09571
      122  6989.270020   20.83865    0.20797    0.09732
      123  6990.856934   21.49994    0.11537    0.11337
      124  6991.777832   21.18222    0.17436    0.11061
      125  6995.407715   20.20379    0.31204    0.10017
      126  6996.334473   20.54424    0.18381    0.10624
      127  6996.578613   24.15360    0.16823    0.12464
      128  6997.012207   24.07800    0.22725    0.12543
      129  6997.570801   22.87977    0.18742    0.11266
      130  6999.487793   27.79860    0.14930    0.14583
      131  7000.953613   22.84105    0.13619    0.11997
      132  7001.930664   20.23621    0.21367    0.10518
      133  7002.235352   24.12128    0.20037    0.12622
      134  7003.873047  137.42003    0.25259    0.67504
      135  7005.274414   17.81067    0.36610    0.09377
      136  7011.221191  184.76401    0.14948    0.97531
      137  7011.640625  177.34355    0.15174    0.93600
      138  7029.662598   28.39756    0.15587    0.15178
