  Table : fluxint_580U.tbl 
 Sequence CENTER           INT        FWHM       FLUX      
      103  6379.321777   54.77183    0.19274    0.51852
      104  6386.250488   66.70065    0.15254    0.62827
      105  6386.623047   63.22144    0.15060    0.59535
      106  6413.773438   25.29090    0.25715    0.22570
      107  6413.889160   22.93839    0.24279    0.20239
      108  6420.075684   37.93814    0.14545    0.34925
      109  6420.560059   35.33538    0.16134    0.32519
      110  6425.752441   14.63158    0.09413    0.13397
      111  6451.952637   19.56046    0.11193    0.17714
      112  6452.230957   19.29076    0.14983    0.16398
      113  6455.992676   13.83286    0.16587    0.12433
      114  6457.741211   23.19535    0.14569    0.20959
      115  6458.345703   22.34694    0.19146    0.19120
      116  6463.529785   80.14705    0.16979    0.72281
      117  6463.800781   38.75677    0.17668    0.34950
      118  6464.895996   23.30067    0.15159    0.21005
      119  6465.946777  153.39407    0.18270    1.35412
      120  6466.924805   22.82535    0.14069    0.20564
      121  6470.152832   64.24396    0.15962    0.57828
      122  6470.984863  178.09631    0.16515    1.60276
      123  6477.921387   70.43063    0.15796    0.63279
      124  6494.120117   11.50175    0.12717    0.10307
      125  6494.416992   13.63376    0.14546    0.12217
      126  6497.531250   51.38105    0.22079    0.43500
      127  6498.736816  477.27051    0.15740    4.27491
      128  6499.395508   17.55591    0.20182    0.14595
      129  6500.132324   16.89903    0.14072    0.14936
      130  6502.609375   17.35223    0.17223    0.13958
      131  6502.720703   16.05128    0.25915    0.14373
      132  6504.999023  112.95834    0.25125    1.01139
      133  6513.854492   31.64334    0.15143    0.28334
      134  6514.151367   30.45255    0.15409    0.27268
      135  6522.432617  109.42751    0.16621    0.95942
      136  6533.049805  365.90558    0.17338    3.28245
      137  6540.281250   14.97275    0.12678    0.13446
      138  6540.756836   14.31532    0.22806    0.12294
      139  6544.035645  153.36179    0.16259    1.37806
      140  6546.069824   15.66306    0.37338    0.12220
      141  6552.817383   14.09642    0.11239    0.12684
      142  6553.625977  313.95578    0.23913    2.66733
      143  6555.907227   12.14672    0.18263    0.10297
      144  6558.283691   11.82849    0.43551    0.09918
      145  6562.759766  129.04254    0.22610    1.16317
      146  6568.789062  128.74966    0.15897    1.16188
      147  6577.201660  173.58766    0.19063    1.56938
      148  6577.375977  161.58017    0.20034    1.46089
      149  6578.104492   16.86850    0.13982    0.13300
      150  6580.439941   15.16187    0.31257    0.13429
      151  6583.723633   20.32860    0.25758    0.18409
      152  6584.487793   16.34896    0.26164    0.13840
      153  6596.644531   75.12068    0.17535    0.68295
      154  6603.995605   94.19908    0.15647    0.85872
      155  6604.283691   85.80008    0.17295    0.78224
      156  6620.454102   12.92096    0.12156    0.11281
      157  6627.631836   33.55335    0.25200    0.30917
      158  6634.048340   45.11113    0.16237    0.41703
      159  6634.433594   41.95817    0.16221    0.38796
      160  6650.812500   14.71341    0.17361    0.12242
      161  6661.685059   18.44141    0.39779    0.15682
      162  6661.863770   17.29327    0.23345    0.16232
      163  6667.385742   23.80523    0.16947    0.22417
      164  6667.866699   21.04115    0.17745    0.18408
      165  6699.055176   14.71092    0.21982    0.14029
      166  6699.285645   12.58869    0.18376    0.12098
      167  6699.654785   13.41481    0.18406    0.12895
      168  6704.106445   17.74696    0.16418    0.17114
      169  6704.676270   15.78467    0.16562    0.14602
      170  6714.775391   13.07865    0.42008    0.11153
      171  6716.733887   18.64170    0.13113    0.18152
      172  6717.560059   22.64371    0.26418    0.19629
 -------- ------------ ---------- ---------- ----------
