    ra          dec
319.9015840  21.9732390
319.9016060  21.9414390
319.9024530  21.9730890
319.9030230  21.9843120
319.9030730  21.9306250
319.9046370  21.9612980
319.9051730  21.9229590
319.9058060  21.9911530
319.9058120  21.9325420
319.9059480  21.9346200
319.9068870  21.9229670
319.9075500  21.9814030
319.9080810  21.9870620
319.9084340  21.9489950
319.9087620  21.9353500
319.9088030  21.9707560
319.9090310  21.9567450
319.9090390  21.9712420
319.9094370  21.9429950
319.9098310  21.9293620
319.9099120  21.9708250
319.9106140  21.9711170
319.9107030  21.9190530
319.9109140  21.9973980
319.9111500  21.9447120
319.9118370  21.9786870
319.9122000  21.9409500
319.9124200  21.9359000
319.9126730  21.9952670
319.9131780  21.9156280
319.9138230  21.9569200
319.9138810  21.9696500
319.9146640  21.9993000
319.9146950  21.9690170
319.9148890  21.9344280
319.9151670  21.9221370
319.9151950  21.9341980
319.9155590  21.9683450
319.9156230  21.9676390
319.9164340  21.9225450
319.9165840  21.9691870
319.9165840  21.9846530
319.9166250  21.9431310
319.9171390  21.9680140
319.9171870  21.9690560
319.9173230  21.9798250
319.9189780  21.9333620
319.9191120  21.9069370
319.9195170  21.9051950
319.9195640  21.9678170
319.9200730  21.9681280
319.9203620  21.9666890
319.9205030  21.9678030
319.9205670  21.9930170
319.9212560  21.9245420
319.9213840  21.9089090
319.9221390  21.9671950
319.9222810  21.9480170
319.9223780  21.9673730
319.9225700  21.9064030
319.9226030  21.9665250
319.9228250  21.9674870
319.9228620  21.9547620
319.9237480  21.9404500
319.9252030  21.9627620
319.9257200  21.9610370
319.9262560  21.9813620
319.9264030  21.9823670
319.9267140  21.9826870
319.9268840  21.9834250
319.9277280  21.9598370
319.9279870  21.9119030
319.9282500  21.9880870
319.9283590  21.9449060
319.9286950  21.9734280
319.9287840  21.9795370
319.9297140  21.9131780
319.9297500  21.9019140
319.9300780  21.9824030
319.9302420  21.9887340
319.9303890  21.9354810
319.9307000  21.9793450
319.9308030  21.9642090
319.9308980  21.9516090
319.9312450  21.9556060
319.9324840  21.9980870
319.9326530  21.9347370
319.9335590  21.9995420
319.9339640  21.9499230
319.9339980  21.9060640
319.9349450  21.9600750
319.9351870  21.9424280
319.9357250  21.9691170
319.9371750  21.9590840
319.9377280  21.9247370
319.9378280  21.9256980
319.9384640  21.9263530
319.9391280  21.9614170
319.9396840  21.9924060
319.9403640  21.9050500
319.9405480  21.9485590
319.9408200  21.9481200
319.9418480  21.9297230
319.9418700  21.9403810
319.9421810  21.9921890
319.9422530  21.9043870
319.9425620  21.9972340
319.9427230  21.9684670
319.9428250  21.9688450
319.9430890  21.9773230
319.9436980  21.9606980
319.9437840  21.9188120
319.9440450  21.9039950
319.9441530  21.9231500
319.9452140  21.9373390
319.9453200  21.9013500
319.9459870  21.9871450
319.9472090  21.9933060
319.9473950  21.9223700
319.9484030  21.9105120
319.9487730  21.9948920
319.9501060  21.9866170
319.9516980  21.9728140
319.9519920  21.9649730
319.9525060  21.9209750
319.9533230  21.9791370
319.9537140  21.9058920
319.9539870  21.9181250
319.9542310  21.9119840
319.9551530  21.9120250
319.9551670  21.9966140
319.9566420  21.9138390
319.9567750  21.9067920
319.9575700  21.9796620
319.9582030  21.9739170
319.9587370  21.9648620
319.9605230  21.9887500
319.9607590  21.9190670
319.9611090  21.9803980
319.9615840  21.9961450
319.9625310  21.9665250
319.9627250  21.9670120
319.9627590  21.9285370
319.9629920  21.9274640
319.9631810  21.9368670
319.9645250  21.9383480
319.9655090  21.9015450
319.9661700  21.9841450
319.9662530  21.9213140
319.9662730  21.9732810
319.9672950  21.9609620
319.9704280  21.9036250
319.9705200  21.9971500
319.9709870  21.9512140
319.9722780  21.9727590
319.9726370  21.9384310
319.9727250  21.9367870
319.9741670  21.9565480
319.9764950  21.9429700
319.9767590  21.9569310
319.9770170  21.9263530
319.9771060  21.9372480
319.9772000  21.9059000
319.9772530  21.9807030
319.9772750  21.9647120
319.9779920  21.9483920
319.9784750  21.9336230
319.9789950  21.9745250
319.9791700  21.9373840
319.9793730  21.9390310
319.9817480  21.9144450
319.9822920  21.9646000
319.9825780  21.9531920
319.9831560  21.9869060
319.9832480  21.9939370
319.9833950  21.9129890
319.9835560  21.9645060
319.9841840  21.9835620
