   0.032  -12.8449017044
   0.034  33.3906961809
   0.214  43.9434063106
   0.263  3.32881565111
   0.275  -40.7666260226
   0.275  -74.8646981377
    0.45  393.364997773
     0.5  407.966663725
     0.5  430.944172027
    0.63  309.267940252
     0.8  375.697021973
     0.9  90.5189619171
     0.9  593.447535766
     0.9  214.938999196
     0.9  432.012237372
     1.0  821.972599086
     1.1  589.421682787
     1.1  726.3654092
     1.4  612.054025706
     1.7  1041.64736437
     2.0  523.253812459
     2.0  842.313802273
     2.0  808.529483893
     2.0  1108.45440205
