     x            y         ra           dec
855.6854248 893.8540039 319.8555199  21.8914931
553.3717651 894.8342285 319.9203758  21.8913322
534.5273438 893.2915649 319.9244188  21.8916406
872.1168213 893.4361572 319.8519949  21.8915743
994.4457397 890.7492065 319.8257518  21.8920942
153.9824219 890.1658325 320.0060583  21.8923038
685.6013184 889.7951050 319.8920090  21.8923181
575.7899780 883.0405273 319.9155679  21.8936718
340.8225708 883.2734375 319.9659759  21.8936517
277.5119324 883.8845825 319.9795580  21.8935374
 63.5151062 880.7573853 320.0254676  21.8941823
1022.9210815 877.9222412 319.8196445  21.8946384
1014.3565063 877.7384644 319.8214819  21.8946758
405.1043091 881.5994873 319.9521856  21.8939770
390.7727966 882.0722046 319.9552601  21.8938847
912.3034668 877.4810791 319.8433756  21.8947383
881.2108154 881.7177124 319.8500454  21.8939004
816.6466064 876.1107788 319.8638972  21.8950211
451.7505188 878.8867188 319.9421788  21.8945105
942.9947510 871.2681274 319.8367921  21.8959687
941.7196655 858.9518433 319.8370672  21.8984147
286.3503113 875.0140991 319.9776630  21.8952980
 12.6728506 874.1244507 320.0363757  21.8955052
647.1028442 877.4608765 319.9002696  21.8947719
703.1338501 870.2442627 319.8882501  21.8961988
796.7621460 871.8262329 319.8681636  21.8958742
276.1579285 868.2220459 319.9798504  21.8966480
113.9169846 869.9953613 320.0146561  21.8963139
717.8358765 867.6159058 319.8850964  21.8967191
236.9346619 867.1005249 319.9882652  21.8968751
884.5989380 867.1701050 319.8493204  21.8967890
847.9112549 864.8693237 319.8571913  21.8972500
107.0254364 865.0323486 320.0161352  21.8973003
202.0232849 859.5067749 319.9957558  21.8983870
567.1234741 855.6146851 319.9174305  21.8991192
897.9768066 844.0425415 319.8464533  21.9013804
812.6955566 841.5679932 319.8647491  21.9018814
813.2710571 856.7103271 319.8646238  21.8988742
872.9796753 855.5878296 319.8518145  21.8990905
455.8915100 853.1536865 319.9412936  21.8996204
827.2022705 848.4296875 319.8616361  21.9005171
1013.1024780 853.1148682 319.8217540  21.8995659
517.7011108 850.6773071 319.9280338  21.9001052
312.8821411 853.3092041 319.9719737  21.8996054
 75.9682770 852.5302124 320.0227995  21.8997865
185.6694794 846.8392944 319.9992657  21.9009045
 26.3391247 847.6207886 320.0334471  21.9007670
361.9796753 844.7791138 319.9614418  21.9012939
510.0610962 840.4254761 319.9296741  21.9021420
343.2706299 842.4363403 319.9654558  21.9017613
942.6867676 842.1201172 319.8368618  21.9017572
722.3560791 838.6228638 319.8841302  21.9024763
436.4422607 838.5957031 319.9454679  21.9025136
987.6452026 830.9144897 319.8272181  21.9039775
552.2650757 836.9990845 319.9206204  21.9028177
320.4324646 832.3819580 319.9703565  21.9037605
460.4381409 824.6405029 319.9403218  21.9052823
443.3487549 829.8934326 319.9439874  21.9042410
451.5687256 828.3120728 319.9422241  21.9045541
108.5594254 826.0238037 320.0158109  21.9050468
116.1837311 818.8823242 320.0141761  21.9064642
777.2506714 826.2271729 319.8723551  21.9049318
767.0473022 825.8972778 319.8745441  21.9049985
560.7454224 825.7040405 319.9188025  21.9050599
557.3111572 824.1263428 319.9195395  21.9053736
182.7847290 824.1718140 319.9998874  21.9054063
939.4995117 825.5418091 319.8375476  21.9050499
750.7564087 824.4521484 319.8780392  21.9052873
490.1698608 819.6953125 319.9339440  21.9062610
662.4682617 819.6619263 319.8969804  21.9062484
289.1029968 820.3214111 319.9770792  21.9061591
616.1971436 734.7127075 319.9069176  21.9231236
586.9409790 771.7276611 319.9131894  21.9157761
762.1975098 818.4431763 319.8755855  21.9064793
890.2315674 815.4944458 319.8481184  21.9070506
778.2283325 815.6025391 319.8721467  21.9070417
559.6586304 815.0055542 319.9190370  21.9071846
683.0486450 815.5432129 319.8925658  21.9070641
847.3009033 812.3087158 319.8573288  21.9076881
1003.9521484 805.8893433 319.8237229  21.9089454
753.1553955 805.5753784 319.8775269  21.9090358
 78.4329376 805.7656250 320.0222765  21.9090732
839.5472412 804.7019043 319.8589932  21.9091996
880.4442749 801.4606323 319.8502198  21.9098387
713.3731689 800.9230347 319.8860620  21.9099641
647.0636597 799.1862183 319.9002878  21.9103164
422.9435730 797.8305664 319.9483689  21.9106106
889.7094727 795.2847900 319.8482329  21.9110641
688.3728638 793.8994141 319.8914263  21.9113617
1002.5015259 791.1279297 319.8240359  21.9118771
780.6430664 793.1693115 319.8716314  21.9114964
453.2857971 793.7686768 319.9418600  21.9114139
209.4213257 793.7491455 319.9941768  21.9114449
395.5342102 790.2609253 319.9542500  21.9121169
517.9595947 790.9874268 319.9279858  21.9119590
  5.6548362 792.1248169 320.0378915  21.9117902
715.8838501 790.1242065 319.8855247  21.9121083
114.0065002 790.5047607 320.0146467  21.9120999
801.9512939 788.2356567 319.8670607  21.9124738
653.9151001 786.3543701 319.8988195  21.9128639
991.4857178 786.7532349 319.8263997  21.9127471
986.5742188 778.4278564 319.8274544  21.9144009
919.8543701 787.3700562 319.8417668  21.9126326
 41.8455467 785.9948120 320.0301282  21.9130036
899.9840088 785.7346802 319.8460299  21.9129595
510.1728516 784.1794434 319.9296571  21.9133119
260.2106323 784.9874878 319.9832819  21.9131793
 28.3773193 784.4439087 320.0330177  21.9133131
155.9292908 784.5859375 320.0056537  21.9132706
222.5714417 784.9276733 319.9913568  21.9131953
938.1035767 782.7611084 319.8378524  21.9135458
668.3833008 782.8208618 319.8957160  21.9135640
384.2103271 780.9008179 319.9566805  21.9139770
120.0115433 782.0258179 320.0133595  21.9137830
858.5004883 779.1539917 319.8549302  21.9142710
268.3067322 778.5776978 319.9815459  21.9144513
799.4403687 771.2286377 319.8676015  21.9158515
398.2405701 819.9202271 319.9536657  21.9062266
209.0209961 774.9919434 319.9942650  21.9151700
244.7031250 768.9585571 319.9866108  21.9163642
133.8825226 769.9050903 320.0103853  21.9161885
 24.6336861 770.9178467 320.0338225  21.9159996
205.7792053 769.3551025 319.9949612  21.9162898
958.4049683 758.3389282 319.8335001  21.9183935
283.9944458 765.0452881 319.9781820  21.9171369
1021.1441040 763.0404053 319.8200400  21.9174529
571.2329712 737.1226196 319.9165636  21.9226500
157.2319336 762.3559570 320.0053770  21.9176851
891.1367798 761.8509521 319.8479309  21.9177036
397.0214844 758.9138184 319.9539348  21.9183420
842.4019165 758.2448730 319.8583865  21.9184251
384.3378906 816.2567749 319.9566488  21.9069557
510.9614868 759.4656372 319.9294910  21.9182197
467.9825439 758.8780518 319.9387114  21.9183411
244.1969604 756.8709717 319.9867209  21.9187647
444.5870972 755.5347900 319.9437309  21.9190077
155.0442963 755.3392944 320.0058472  21.9190788
531.4258423 754.4164429 319.9251013  21.9192201
365.5534973 754.4018555 319.9606863  21.9192415
  9.5939589 754.5395508 320.0370511  21.9192538
991.4231567 753.8910522 319.8264172  21.9192731
402.5006104 749.2767334 319.9527606  21.9202552
404.3133545 743.7634888 319.9523724  21.9213498
729.0227661 748.5971069 319.8827112  21.9203537
 32.5279770 818.8027954 320.0321230  21.9064893
859.3403320 745.3606567 319.8547543  21.9209819
739.6541138 750.9319458 319.8804301  21.9198889
209.2487335 750.1338501 319.9942192  21.9201065
796.4774170 738.5961304 319.8682412  21.9223323
340.2374878 743.7750244 319.9661187  21.9213547
427.7805176 737.9481201 319.9473386  21.9225021
319.7568054 741.6337280 319.9705127  21.9217822
 38.4688416 740.0365601 320.0308583  21.9221308
 32.9927406 737.5031738 320.0320334  21.9226345
253.6727448 740.0006104 319.9846901  21.9221139
245.8051758 739.5205078 319.9863780  21.9222101
  7.7456846 737.9914551 320.0374496  21.9225403
922.8500977 733.6396484 319.8411308  21.9233025
278.8765564 736.8180542 319.9792835  21.9227431
722.7319946 731.5824585 319.8840629  21.9237334
714.1422729 727.2572021 319.8859062  21.9245933
185.6992645 732.5217896 319.9992735  21.9236067
717.6610718 818.8809204 319.8851399  21.9063974
442.9549561 734.0608521 319.9440837  21.9232724
643.6690674 730.3195801 319.9010246  21.9239930
882.3373413 730.2972412 319.8498225  21.9239708
472.2890320 728.1188965 319.9377914  21.9244491
472.6959534 720.9243774 319.9377049  21.9258778
468.0999451 716.9013062 319.9386914  21.9266773
551.8216553 728.5071411 319.9207290  21.9243631
168.0207062 725.0859375 320.0030671  21.9250853
 30.9769650 726.9873047 320.0324671  21.9247230
880.9429932 723.6149292 319.8501225  21.9252980
798.3182373 724.1380615 319.8678481  21.9252033
949.7778320 724.6018677 319.8353551  21.9250943
808.7005005 720.5355835 319.8656212  21.9259176
546.9484253 725.2616577 319.9217749  21.9250082
764.9215698 718.3059692 319.8750135  21.9263652
833.6835327 719.9037476 319.8602616  21.9260402
899.3923950 716.8303223 319.8461653  21.9266433
461.0216064 718.9260254 319.9402097  21.9262760
398.4585571 719.1674194 319.9536315  21.9262350
711.5220947 714.8162842 319.8864698  21.9270642
355.0320435 713.1320801 319.9629486  21.9274384
356.0987854 706.0194702 319.9627206  21.9288508
1022.5670166 707.6406250 319.8197416  21.9284545
104.1954727 712.1716919 320.0167612  21.9276571
522.2856445 712.9690552 319.9270674  21.9274521
453.3639832 701.2028198 319.9418547  21.9297965
673.9811401 709.9818726 319.8945242  21.9280284
699.0535278 708.0055542 319.8891456  21.9284181
560.5219116 708.0962524 319.9188650  21.9284156
323.9797974 708.0071411 319.9696109  21.9284596
134.6880493 707.0032959 320.0102202  21.9286801
914.5197144 703.9144287 319.8429216  21.9292065
827.5374146 706.0075684 319.8615819  21.9288006
114.6903229 704.8198853 320.0145107  21.9291159
200.9054718 702.0292969 319.9960151  21.9296605
602.3536377 702.5450439 319.9098915  21.9295133
575.0957642 702.3660889 319.9157392  21.9295519
143.4350739 697.6160278 320.0083449  21.9305433
945.8457031 701.1342773 319.8362016  21.9297552
 72.3065262 699.7421875 320.0236040  21.9301290
633.8367310 696.4921875 319.9031381  21.9307118
747.1234131 694.2062988 319.8788347  21.9311531
960.1893921 692.3514404 319.8331255  21.9314977
795.2227173 691.8375854 319.8685162  21.9316182
741.7956543 690.5007935 319.8799782  21.9318896
188.1373749 684.1994019 319.9987565  21.9332027
162.3081055 688.2906494 320.0042972  21.9323931
165.7549438 678.7224121 320.0035589  21.9342929
179.2178650 669.7069092 320.0006718  21.9360818
 87.3620453 684.5040283 320.0203760  21.9331535
600.5656738 685.7210693 319.9102771  21.9328546
590.4144897 669.7624512 319.9124569  21.9360249
576.4346313 679.3362427 319.9154548  21.9341252
581.9938965 675.4735107 319.9142627  21.9348917
1020.0346069 680.3969727 319.8202882  21.9338651
998.4428711 679.9001465 319.8249204  21.9339662
560.0725098 682.9010620 319.9189646  21.9334191
838.6757812 677.0452881 319.8591959  21.9345509
282.5289307 681.9022217 319.9785067  21.9336484
763.9368896 679.5323486 319.8752295  21.9340654
595.9901123 679.5665894 319.9112595  21.9340773
910.3391113 677.3435669 319.8438218  21.9344837
731.6441040 678.9547729 319.8821574  21.9341837
620.5439453 676.1000366 319.9059924  21.9347630
983.6259155 670.9406738 319.8281002  21.9357471
950.6333008 675.9896240 319.8351776  21.9347481
687.5573120 675.2285156 319.8916159  21.9349286
209.9743195 674.5740967 319.9940729  21.9351118
790.4185791 676.5002441 319.8695487  21.9346645
496.7478333 675.3822632 319.9325507  21.9349193
607.4947510 672.8893433 319.9087922  21.9354020
354.3390808 665.2133179 319.9631032  21.9369546
 91.9374847 673.0015869 320.0193958  21.9354372
856.3897705 666.2358398 319.8553971  21.9366956
506.8385315 671.8444824 319.9303864  21.9356208
 23.3915691 667.0415649 320.0341019  21.9366285
738.0553589 671.5385132 319.8807829  21.9356557
657.8858643 670.6672974 319.8979820  21.9358377
309.8866272 667.0060425 319.9726395  21.9366036
310.2314148 657.4899902 319.9725667  21.9384933
437.7928467 662.9090576 319.9452000  21.9374029
279.4672546 654.3903198 319.9791670  21.9391123
279.8442383 663.5964966 319.9790850  21.9372840
289.3804626 663.1792603 319.9770392  21.9373658
118.0524063 666.8399658 320.0137941  21.9366579
621.4521484 686.6328735 319.9057962  21.9326712
 45.1252632 661.5736694 320.0294400  21.9377119
924.4183960 671.8748169 319.8408020  21.9355682
768.6043701 659.4558716 319.8742307  21.9380518
762.0732422 656.8865356 319.8756322  21.9385628
716.3141479 655.7469482 319.8854491  21.9387942
148.9842529 656.9902954 320.0071594  21.9386105
1001.2947388 653.1028442 319.8243119  21.9392875
209.5731506 655.6755981 319.9941613  21.9388649
388.6944580 651.6135254 319.9557346  21.9396516
980.9315186 650.2551270 319.8286808  21.9398553
656.1713257 651.7536011 319.8983522  21.9395939
372.8079529 649.8458252 319.9591430  21.9400044
537.6499634 648.0069580 319.9237793  21.9403512
453.5881653 647.7312012 319.9418133  21.9404153
244.0206451 640.3822021 319.9867731  21.9418981
 20.9411640 647.8692627 320.0346299  21.9404362
920.0844116 644.7470703 319.8417352  21.9409559
799.1212158 645.2589111 319.8676856  21.9408678
763.0186157 644.5509644 319.8754309  21.9410124
640.7523804 642.2103271 319.9016612  21.9414908
591.8310547 644.7272949 319.9121561  21.9409965
997.0612793 638.8005371 319.8252219  21.9421283
949.3869019 635.3888550 319.8354500  21.9428111
168.8430023 635.3883667 320.0029018  21.9428982
183.4868011 627.0753174 319.9997613  21.9445475
292.1366272 635.0072021 319.9764514  21.9429602
726.7017822 636.3433838 319.8832230  21.9426464
483.7163391 637.5469971 319.9353511  21.9424344
604.6888428 633.7796631 319.9093990  21.9431691
570.8732910 634.2502441 319.9166535  21.9430794
 46.3196068 633.0083008 320.0291873  21.9433846
967.9747314 628.9166870 319.8314631  21.9440943
516.1918945 624.7822266 319.9283856  21.9449658
756.6882324 627.7454224 319.8767910  21.9443505
102.7667770 627.3133545 320.0170783  21.9445092
 10.8133812 627.3931885 320.0368052  21.9445036
1022.5369873 626.5618286 319.8197581  21.9445559
782.8574829 624.8544312 319.8711772  21.9449217
975.6297607 619.7072144 319.8298220  21.9459224
596.8663330 625.2166138 319.9110783  21.9448705
119.7843628 639.1850586 320.0134260  21.9421497
726.3354492 610.4154663 319.8833048  21.9477954
200.0319519 608.5919189 319.9962141  21.9482162
814.4793701 615.9575806 319.8643944  21.9466850
 95.8654709 613.4669800 320.0185605  21.9472597
 91.0310287 608.5053711 320.0195983  21.9482456
1005.6027832 614.6704102 319.8233925  21.9469193
 49.7651901 614.4539795 320.0284504  21.9470689
773.2044067 612.7700195 319.8732496  21.9473226
808.9812622 611.5923462 319.8655745  21.9475525
544.6704102 609.4448242 319.9222779  21.9480084
506.2052917 610.2184448 319.9305298  21.9478591
285.6875000 607.6057129 319.9778383  21.9484025
490.2712097 599.9302979 319.9339495  21.9499040
239.4670715 607.4392090 319.9877541  21.9484408
  2.0544388 606.6104126 320.0386869  21.9486318
  8.4735041 598.7750854 320.0373107  21.9501871
609.3125610 604.4107056 319.9084107  21.9490010
255.0055695 601.6021118 319.9844213  21.9495982
304.7671204 600.0205688 319.9737461  21.9499068
131.5387115 592.0982056 320.0109101  21.9514994
317.0601807 592.5588379 319.9711097  21.9513872
 76.6320038 589.2300415 320.0226897  21.9520751
929.8126221 592.7799072 319.8396546  21.9512750
922.9631958 587.8171387 319.8411246  21.9522613
504.4129944 591.2464600 319.9309167  21.9516269
835.5797729 590.7844238 319.8598708  21.9516818
876.5294189 589.5111694 319.8510860  21.9519300
 28.8643169 587.3383789 320.0329377  21.9524561
664.4500122 584.9471436 319.8965844  21.9528601
691.7283325 584.6325073 319.8907324  21.9529195
607.2583618 585.1953125 319.9088538  21.9528172
264.5094604 583.7324829 319.9823847  21.9531459
358.9488220 583.3244019 319.9621244  21.9532164
106.2216492 575.3753662 320.0163435  21.9548232
969.0625610 561.9484863 319.8312381  21.9573934
934.6848145 575.5748901 319.8386115  21.9546912
945.3274536 559.0293579 319.8363304  21.9579757
978.4187622 578.2553711 319.8292288  21.9541540
541.7656250 575.4185791 319.9229053  21.9547660
303.5062256 566.5710449 319.9740207  21.9565496
391.9769287 579.3076782 319.9550393  21.9540104
502.9041443 571.5402222 319.9312428  21.9555406
 33.0039406 571.4958496 320.0320516  21.9556018
606.0319214 565.4919434 319.9091194  21.9567302
583.5611572 564.7405396 319.9139402  21.9568819
 54.6482201 565.4741211 320.0274089  21.9567952
1006.4431763 559.6395264 319.8232190  21.9578478
  2.9264898 558.9899902 320.0385057  21.9580886
792.9473877 560.1278076 319.8690207  21.9577746
211.2996063 558.0896606 319.9938031  21.9582442
518.9344482 549.7406616 319.9278065  21.9598679
530.1088257 535.1860352 319.9254111  21.9627571
740.5699463 556.7727051 319.8802577  21.9584467
864.3720703 554.2122803 319.8536985  21.9589414
165.4406586 547.2595825 320.0036426  21.9604001
827.5982666 548.8533936 319.8615883  21.9600097
805.0474243 547.8480225 319.8664263  21.9602119
485.3553162 549.0372925 319.9350104  21.9600113
446.6929626 548.6452026 319.9433048  21.9600935
 51.8417091 548.9400635 320.0280130  21.9600790
474.8014526 553.6401367 319.9372740  21.9590985
334.1914368 545.1543579 319.9674404  21.9607993
714.0974731 543.3957520 319.8859386  21.9611062
677.5434570 525.4491577 319.8937828  21.9646743
465.2998352 541.9793091 319.9393138  21.9614152
145.3647919 540.8796997 320.0079503  21.9616693
449.9778442 539.0039673 319.9426013  21.9620078
655.7364502 523.3319092 319.8984614  21.9650972
1016.9733276 535.5618286 319.8209629  21.9626282
128.7682343 524.0121460 320.0115129  21.9650208
 18.4679565 533.9666748 320.0351746  21.9630563
776.1780396 531.2867432 319.8726218  21.9635040
763.7268066 530.3944702 319.8752931  21.9636826
727.4708862 531.0155029 319.8830711  21.9635633
  3.8679500 522.5966797 320.0383082  21.9653159
 51.8804817 528.3441772 320.0280073  21.9641691
505.0239258 527.8715820 319.9307935  21.9642124
288.6146240 525.8638306 319.9772205  21.9646353
861.0601196 527.0952148 319.8544124  21.9643269
 30.6487598 524.8266602 320.0325626  21.9648700
265.1805420 526.0088501 319.9822478  21.9646091
257.9664917 526.5366821 319.9837954  21.9645051
218.5772400 526.2682495 319.9922457  21.9645628
211.1525879 525.8960571 319.9938386  21.9646375
243.0686951 524.8392334 319.9869917  21.9648438
229.9011841 525.2260132 319.9898165  21.9647685
545.9428711 520.2689209 319.9220160  21.9657177
604.5067139 491.8756409 319.9094557  21.9713498
405.0564880 521.9699097 319.9522405  21.9653956
358.7604065 520.3057861 319.9621727  21.9657312
356.2201233 513.8403931 319.9627184  21.9670155
751.7988281 519.9859619 319.8778533  21.9657509
155.2832947 520.6801758 320.0058250  21.9656796
315.9995728 519.9962158 319.9713463  21.9657975
243.0189056 511.5348206 319.9870040  21.9674860
866.2926636 514.9429932 319.8532913  21.9667396
965.9783936 514.5209961 319.8319056  21.9668123
449.3629456 509.1319275 319.9427369  21.9679401
448.0277100 503.3519287 319.9430241  21.9690881
163.1761475 513.5755615 320.0041326  21.9670896
371.9929810 523.5261841 319.9593335  21.9650902
728.6260376 511.5699158 319.8828257  21.9674248
951.3499756 515.3471069 319.8350438  21.9666499
  2.0261629 508.0268250 320.0387052  21.9682095
789.6016235 502.4445190 319.8697456  21.9692303
840.0052490 503.5077209 319.8589322  21.9690135
846.5381470 500.3700867 319.8575311  21.9696359
482.6895142 503.6038208 319.9355880  21.9690343
978.5592041 502.2384033 319.8292081  21.9692501
677.5416260 492.3754272 319.8937873  21.9712424
379.9895630 501.6150208 319.9576206  21.9694407
151.8274231 500.6895142 320.0065689  21.9696499
511.1658630 500.9645996 319.9294792  21.9695552
325.6888733 500.0313721 319.9692701  21.9697612
 99.8585815 497.8168640 320.0177182  21.9702262
374.4444885 500.5052795 319.9588104  21.9696617
 61.8055267 499.0444641 320.0258817  21.9699866
1022.6642456 498.1755371 319.8197467  21.9700520
987.0148315 497.0079346 319.8273948  21.9702879
888.8841553 496.3279419 319.8484470  21.9704339
840.0641479 489.2108154 319.8589214  21.9718527
 32.2470627 495.1737061 320.0322234  21.9707586
134.4197845 493.5219727 320.0103043  21.9710752
875.5300903 492.1760864 319.8513124  21.9712599
852.0145264 491.0014954 319.8563574  21.9714958
177.4753418 480.5136719 320.0010691  21.9736537
162.7515106 467.5158386 320.0042294  21.9762366
407.4169922 484.9722595 319.9517386  21.9727427
227.4904480 487.5269775 319.9903384  21.9722554
830.7214355 493.5368347 319.8609252  21.9709946
867.4375610 486.5022888 319.8530492  21.9723875
961.6544189 481.0830994 319.8328374  21.9734532
956.8973999 474.1848755 319.8338588  21.9748237
311.6892395 485.3660278 319.9722753  21.9726751
514.5722046 481.7538452 319.9287508  21.9733699
339.5240173 482.9623413 319.9663041  21.9731494
117.9253387 475.6855164 320.0138451  21.9746192
834.3222046 481.1340942 319.8601542  21.9734573
 84.8509674 475.8643799 320.0209406  21.9745874
 34.3831558 477.4695435 320.0317673  21.9742742
945.1727295 477.6900635 319.8363736  21.9741289
276.6701965 475.0670471 319.9797893  21.9747243
903.0154419 474.2129822 319.8454182  21.9748241
934.9362793 465.2533264 319.8385712  21.9765998
976.5931396 463.7951050 319.8296347  21.9768848
811.4160767 464.5606995 319.8650704  21.9767511
